Id,Name,PersonId,LastName,FirstName,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount
4915,"ENTEKHABI, DARA",34408,,,Civil and Environmental Engineering,Professor,178,92,44,0.0,7,8301,2
2725,"GSCHWEND, PHILIP M",107510,,,Civil and Environmental Engineering,Professor,45,1,27,0.0,1,2047,1
5280,"HARVEY, CHARLES F",43839,,,Civil and Environmental Engineering,Professor,63,7,22,0.0,6,2891,0
9350,"HEALD, COLETTE L",544462,,,Civil and Environmental Engineering,Professor,136,1,9,0.0,1,8349,1
14990,"JADBABAIE-MOGHADAM, ALI",60885,,,Civil and Environmental Engineering,Professor,44,130,12,0.0,5,5055,0
2535,"JAILLET, PATRICK",148653,,,Civil and Environmental Engineering,Professor,57,39,10,0.0,1,1310,5
5660,"JUANES, RUBEN",52517,,,Civil and Environmental Engineering,Professor,138,36,9,0.0,1,4569,2
4520,"KROLL, JESSE",288366,,,Civil and Environmental Engineering,Professor,179,3,23,0.0,6,16916,2
15015,"MASIC, ADMIR",789736,,,Civil and Environmental Engineering,Assistant,89,3,0,0.0,0,3084,1
4465,"MCLAUGHLIN, DENNIS",68543,,,Civil and Environmental Engineering,Professor,44,10,12,0.0,1,1188,0
4445,"NEPF, HEIDI",83154,,,Civil and Environmental Engineering,Professor,99,2,12,0.0,3,4788,2
23840,"PELLENQ, ROLAND J M",1108043,,,Civil and Environmental Engineering,Other,158,25,0,0.0,1,5807,5
17425,"PLATA, DESIREE LOUISE",635686,,,Civil and Environmental Engineering,Assistant,61,0,2,0.0,4,1766,0
3810,"POLZ, MARTIN F",176491,,,Civil and Environmental Engineering,Professor,99,1,13,0.0,2,6524,5
7375,"SHEFFI, YOSEF",289312,,,Civil and Environmental Engineering,Professor,17,0,23,0.0,2,426,13
2185,"SIMCHI-LEVI, DAVID",165888,,,Civil and Environmental Engineering,Professor,105,6,7,0.0,5,2770,19
4415,"ULM, FRANZ-JOSEF",90673,,,Civil and Environmental Engineering,Professor,166,28,6,0.0,4,8148,12
6195,"WHITTLE, ANDREW",96890,,,Civil and Environmental Engineering,Professor,77,29,7,0.0,6,1382,5
23955,"WILLIAMS, EARLE R",289724,,,Civil and Environmental Engineering,Other,130,4,23,0.0,3,3429,0
4825,"WILLIAMS, JOHN R",289725,,,Civil and Environmental Engineering,Professor,68,22,3,0.0,0,3757,5
23455,"CASALEGNO, FEDERICO",837840,,,Comparative Media Studies/Writing Section,Other,14,36,0,0.0,0,83,4
9700,"CONDRY, IAN",412300,,,Comparative Media Studies/Writing Section,Professor,10,0,1,0.0,3,150,17
10335,"HENDERSHOT, HEATHER JEAN",544606,,,Comparative Media Studies/Writing Section,Professor,15,0,0,0.0,4,9,18
