USPTO,Author_Id,Filing_Date
8562966,1830,2011-12-06
8562998,1830,2011-07-20
8557231,1830,2005-04-06
8450298,1830,2010-03-03
8377463,1830,2007-04-25
8367113,1830,2007-05-15
8343497,1830,2009-04-22
8343498,1830,2009-04-22
8323698,1830,2010-09-01
8287849,1830,2009-07-23
8277812,1830,2009-04-22
8193334,1830,2008-04-04
8143042,1830,2007-01-12
8110213,1830,2008-07-15
8071082,1830,2007-07-20
7918842,1830,2004-02-20
7901397,1830,2007-10-31
7892221,1830,2005-01-21
7883718,1830,2008-05-22
7838024,1830,2008-05-22
7833545,1830,2004-04-29
7829112,1830,2008-05-22
7727969,1830,2003-06-06
7722894,1830,2002-10-21
7628977,1830,2003-04-18
7550441,1830,2004-06-04
7462471,1830,2004-02-10
7435408,1830,2004-04-06
7427394,1830,2003-05-28
7112361,1830,2002-10-24
7070590,1830,2000-09-19
7052678,1830,2002-03-07
6998115,1830,2001-10-02
6977087,1830,2002-03-01
6942868,1830,2003-05-20
6840962,1830,2000-09-25
6740310,1830,2002-07-30
6689608,1830,2000-09-26
6652873,1830,2002-04-10
6652837,1830,1999-09-13
6635283,1830,2001-12-20
6537567,1830,
6503480,1830,1999-04-08
5985309,1830,1997-11-17
5874064,1830,1996-10-29
6136295,1830,1998-12-15
6447753,1830,2001-06-25
6447752,1830,2001-06-25
6436443,1830,2001-06-25
6399102,1830,2000-05-01
6387390,1830,1999-10-05
6309635,1830,1994-11-28
6306819,1830,
6281015,1830,
6262183,1830,
6254890,1830,
6254854,1830,2000-05-11
6224893,1830,
6136295,1830,1998-12-15
6123727,1830,1997-08-04
6123861,1830,1998-02-11
6099730,1830,
6095148,1830,
6007845,1830,
5985320,1830,1997-03-03
5985309,1830,1997-11-17
5947921,1830,1995-12-18
5912017,1830,
5874064,1830,1996-10-29
5851833,1830,
5846565,1830,
5830726,1830,
5804178,1830,
5797898,1830,1996-07-02
5770193,1830,
5770417,1830,
5759830,1830,
5736372,1830,
5718921,1830,
5714376,1830,
5654381,1830,
5626862,1830,
5601835,1830,
5593974,1830,
5578325,1830,
5569600,1830,1995-01-26
5567417,1830,
5567612,1830,
5543158,1830,
5514378,1830,1993-02-01
5399665,1830,
5389539,1830,1992-11-30
5330768,1830,
5286763,1830,
5128420,1830,
5122367,1830,
5114719,1830,
5041138,1830,
5019379,1830,
5010167,1830,
4948587,1830,
4946929,1830,
4933431,1830,
4933185,1830,
4921757,1830,
4916204,1830,
4906474,1830,
4900556,1830,
4891225,1830,
4888176,1830,
4886870,1830,
4883666,1830,
4861627,1830,
4857311,1830,
4806621,1830,
4795703,1830,
4789724,1830,
4780212,1830,
4779806,1830,
4767402,1830,
4757128,1830,
4657543,1830,
4443545,1830,
4396762,1830,
4373023,1830,
4341869,1830,
16/130368,1830,
16/415417,1830,
16/152785,1830,
16/613766,1830,
15/765585,1830,
17/066534,1830,
16/612632,1830,
15/758309,1830,
16/895638,1830,
16/427414,1830,
16/256003,1830,
17/097901,1830,
16/857279,1830,
17/024148,1830,
16/202647,1830,
16/528197,1830,
16/692624,1830,
16/075568,1830,
16/803577,1830,
15/934029,1830,
16/063353,1830,
16/002965,1830,
16/684638,1830,
16/920982,1830,
16/752256,1830,
16/867291,1830,
16/141107,1830,
16/818021,1830,
16/612648,1830,
15/229551,1830,
16/239284,1830,
16/153139,1830,
16/036712,1830,
16/080737,1830,
16/090582,1830,
16/778152,1830,
16/899644,1830,
16/614172,1830,
16/502551,1830,
16/007922,1830,
16/696233,1830,
16/427560,1830,
15/412935,1830,
16/240361,1830,
16/427505,1830,
15/588460,1830,
16/289390,1830,
16/991536,1830,
16/182307,1830,
16/698513,1830,
16/411907,1830,
16/119135,1830,
16/177687,1830,
17/080355,1830,
16/162060,1830,
16/899447,1830,
17/126786,1830,
16/584170,1830,
17/070486,1830,
15/055012,1830,
14/277977,1830,
15/692116,1830,
16/679920,1830,
16/544464,1830,
15/919822,1830,
17/126835,1830,
16/818588,1830,
10928397,2245,2013-04-12
10114023,2245,2014-10-02
10028958,2245,2015-04-17
9683231,2245,2014-01-28
9670486,2245,2013-12-13
6946548,2245,2001-09-10
16/115289,2245,
15/351409,2245,
6201108,1970,1995-05-23
6086867,1970,
6046157,1970,
6010872,1970,1994-09-23
6008011,1970,
6001969,1970,
11026419,5590,2019-05-14
10968454,5590,2018-03-16
10961513,5590,2018-03-05
10793609,5590,2017-12-05
10760065,5590,2014-09-03
10752904,5590,2017-04-26
10676721,5590,2011-09-02
10626394,5590,2017-10-27
10614353,5590,2017-04-27
10480009,5590,2016-09-30
10449267,5590,2014-11-13
10385102,5590,2012-05-31
10073087,5590,2015-01-15
9957511,5590,2014-07-01
9697460,5590,2012-09-25
9691017,5590,2013-12-13
9624554,5590,2013-12-19
9617522,5590,2014-09-05
9580480,5590,2014-12-05
9315806,5590,2013-06-28
9284562,5590,2012-10-02
9234227,5590,2012-09-26
9056899,5590,2010-08-31
8795958,5590,2009-02-17
8645115,5590,2011-09-19
8329889,5590,2010-12-29
8182804,5590,2007-12-21
8153119,5590,2008-12-18
13/387888,5590,
16/316980,5590,
15/301135,5590,
16/548143,5590,
16/815072,5590,
16/299641,5590,
17/067379,5590,
16/441647,5590,
16/936881,5590,
16/834727,5590,
15/955080,5590,
17/253946,5590,
16/318958,5590,
16/485822,5590,
9757727,2220,2015-05-18
9134295,2220,
9134294,2220,2010-11-03
9027388,2220,2007-10-11
8899102,2220,2013-12-17
8722419,2220,2010-05-12
8312763,2220,2009-10-14
8087284,2220,2008-07-08
7838284,2220,2008-06-16
7387889,2220,2003-01-02
6815218,2220,
6473187,2220,2000-08-11
16/901924,2220,
16/739778,2220,
16/739843,2220,
16/739820,2220,
15/940001,2220,
17/085650,2220,
16/739866,2220,
9125931,4930,2010-04-06
10088484,3835,2017-05-09
9675667,3835,2016-02-09
9452198,3835,2014-10-16
15/947135,3350,
10947300,5945,2019-11-06
10894818,5945,2017-03-30
10829545,5945,2017-10-13
10538578,5945,2018-04-23
10526375,5945,2015-12-04
10519220,5945,2018-01-11
10301359,5945,2014-04-30
10226527,5945,2011-10-04
9982037,5945,2017-05-15
9902764,5945,2015-02-11
9880167,5945,2016-10-12
9745352,5945,2014-07-25
9709567,5945,2016-01-28
9572861,5945,2016-04-08
9408890,5945,2014-01-22
9334309,5945,2014-01-24
9278998,5945,2010-07-02
9006212,5945,2010-05-11
8846363,5945,2010-10-22
8815522,5945,2009-01-02
8802110,5945,2011-09-21
8637456,5945,2011-01-27
8338119,5945,2006-12-13
8209132,5945,2009-11-20
8173384,5945,2009-07-27
8018231,5945,2010-05-05
8000904,5945,2009-10-06
7951560,5945,2009-11-11
7939292,5945,2008-10-29
7842492,5945,2008-01-04
7737692,5945,2008-10-29
7728589,5945,2008-06-24
7709461,5945,2001-10-18
7695711,5945,2006-04-11
7687479,5945,2006-09-08
7662604,5945,2006-12-13
7560106,5945,2005-07-27
7507570,5945,2005-03-10
7508206,5945,2003-05-20
7504247,5945,2006-05-11
7455986,5945,2005-07-22
7429474,5945,2006-05-11
7412332,5945,2000-04-24
7399604,5945,2005-07-15
7396824,5945,2006-05-11
7390633,5945,2006-04-18
7270815,5945,2004-01-07
7247445,5945,2006-05-11
7139666,5945,2003-01-31
7129335,5945,2004-10-14
7117100,5945,2004-01-16
7110889,5945,2004-01-16
7105334,5945,2004-10-14
7083937,5945,2001-09-12
7056504,5945,1999-08-27
6962699,5945,2003-06-03
6869789,5945,2001-03-08
6597996,5945,2000-04-24
5830726,5945,
5714376,5945,
5569600,5945,1995-01-26
5567417,5945,
5389539,5945,1992-11-30
17/112581,5945,
16/727561,5945,
16/065917,5945,
17/034840,5945,
16/341845,5945,
16/790289,5945,
10670510,1835,2014-02-05
10598597,1835,2017-11-16
9867525,1835,2014-01-08
9589173,1835,2014-05-05
8718351,1835,2012-12-26
8351675,1835,2010-04-09
7724937,1835,2008-05-12
7372985,1835,2003-08-15
6255642,1835,
16/844323,1835,
16/914785,1835,
10314851,4425,2016-09-15
8940500,4425,2009-09-21
5045450,4425,
4532204,4425,
4302535,4425,
4299915,4425,
4293654,4425,
4189534,4425,
4066510,4425,
4036693,4425,
9738610,1905,2013-09-24
6946548,1905,2001-09-10
6230102,1905,
10845360,1605,2019-04-17
10677712,1605,2014-10-29
10429175,1605,2017-12-01
10047344,1605,2015-02-18
9458489,1605,2012-12-10
8808681,1605,2007-06-05
15/828848,1605,
15/975452,1605,
10968446,2270,2015-05-01
10882885,2270,2018-02-15
10030320,2270,2013-03-15
9970040,2270,2014-09-26
15/313863,2270,
16/462460,2270,
15/557447,2270,
16/080707,2270,
16/746215,2270,
16/334506,2270,
16/812196,2270,
16/581918,2270,
16/874480,2270,
10731153,2265,2017-01-20
10563207,2265,2015-03-06
10435710,2265,2017-05-09
10100318,2265,2010-11-15
9677085,2265,2014-03-18
9487808,2265,2013-10-25
9458509,2265,2013-04-05
8809057,2265,2012-01-04
17/032259,2265,
16/739182,2265,
16/634205,2265,
16/875257,2265,
16/892083,2265,
16/784962,2265,
17/032233,2265,
16/739407,2265,
16/528772,2265,
16/810109,2265,
16/741827,2265,
15/755623,2265,
16/049042,2265,
15/665156,2265,
17/253946,2265,
16/528697,2265,
10928397,5055,2013-04-12
10114023,5055,2014-10-02
10988534,1895,2017-08-08
10888603,1895,2017-02-10
10166273,1895,2017-02-01
9844582,1895,2014-11-21
8906356,1895,2010-12-13
8815237,1895,2008-12-05
8652473,1895,2010-01-29
8648176,1895,2010-03-01
8247531,1895,2007-03-20
7767792,1895,2005-02-17
7626011,1895,2007-05-29
7413737,1895,2004-11-15
7232888,1895,2003-07-01
16/857999,1895,
16/739407,1895,
17/001031,1895,
16/692892,1895,
16/523965,1895,
16/230466,1895,
10772898,5060,2018-12-17
10155006,5060,2017-02-13
9610332,5060,2013-07-18
9566280,5060,2015-01-28
9320750,5060,2013-04-23
16/612569,5060,
16/996625,5060,
10472625,2015,2015-10-16
9193753,2015,2013-03-14
9012138,2015,2011-03-09
9012621,2015,2011-01-18
8790922,2015,2010-10-04
8742092,2015,2010-10-04
8632997,2015,2010-10-04
8552171,2015,2010-10-04
8420391,2015,2010-10-04
8394628,2015,2010-10-04
16/580016,2015,
8580253,1995,2010-11-15
5063154,1995,
15/110158,1995,
11/222333,1995,
10928397,2780,2013-04-12
10443054,2780,2017-03-06
10114023,2780,2014-10-02
10028958,2780,2015-04-17
9926601,2780,2012-02-24
9719142,2780,2013-11-07
8642277,2780,2010-07-29
8603738,2780,2009-07-31
15/661021,2780,
